Time,Susceptible,Infected,Recovered
0,999,1,0
1,998.79,1.10492,0.105157
2,998.558,1.2208,0.221344
3,998.302,1.34877,0.349714
4,998.018,1.49007,0.491536
5,997.706,1.64608,0.648211
6,997.36,1.81829,0.821283
7,996.979,2.00838,1.01246
8,996.558,2.21817,1.22361
9,996.094,2.44965,1.4568
10,995.581,2.70503,1.71432
11,995.015,2.9867,1.99867
12,994.39,3.29732,2.31261
13,993.701,3.63976,2.65918
14,992.941,4.01718,3.04171
15,992.103,4.43303,3.46388
16,991.179,4.89107,3.9297
17,990.161,5.39539,4.44361
18,989.039,5.95043,5.01044
19,987.803,6.56103,5.63552
20,986.443,7.23241,6.32464
21,984.946,7.97021,7.08418
22,983.298,8.78052,7.92106
23,981.487,9.66987,8.84287
24,979.497,10.6453,9.85786
25,977.311,11.7141,10.975
26,974.912,12.8844,12.204
27,972.28,14.1645,13.5555
28,969.396,15.5632,15.0408
29,966.238,17.0897,16.6723
30,962.783,18.7535,18.4632
31,959.008,20.5645,20.4278
32,954.886,22.5325,22.5813
33,950.393,24.6676,24.9398
34,945.5,26.9797,27.5206
35,940.18,29.4784,30.3418
36,934.404,32.1729,33.4227
37,928.146,35.0714,36.7831
38,921.375,38.1813,40.4438
39,914.065,41.5084,44.4264
40,906.19,45.0571,48.7527
41,897.726,48.8293,53.4451
42,888.65,52.8246,58.5259
43,878.943,57.0396,64.0172
44,868.592,61.4676,69.9407
45,857.585,66.098,76.3172
46,845.918,70.9162,83.1663
47,833.591,75.9033,90.5058
48,820.613,81.0358,98.3515
49,806.998,86.2855,106.717
50,792.769,91.6199,115.611
51,777.956,97.0019,125.042
52,762.598,102.391,135.012
53,746.74,107.742,145.519
54,730.435,113.008,156.557
55,713.743,118.142,168.115
56,696.729,123.093,180.179
57,679.462,127.812,192.726
58,662.016,132.252,205.732
59,644.466,136.369,219.165
60,626.887,140.12,232.993
61,609.355,143.469,247.176
62,591.942,146.386,261.672
63,574.716,148.846,276.438
64,557.745,150.83,291.425
65,541.085,152.327,306.587
66,524.792,153.333,321.874
67,508.912,153.85,337.238
68,493.486,153.886,352.628
69,478.546,153.455,367.999
70,464.119,152.576,383.304
71,450.226,151.274,398.5
72,436.88,149.574,413.546
73,424.089,147.508,428.403
74,411.857,145.106,443.037
75,400.182,142.403,457.414
76,389.06,139.432,471.508
77,378.48,136.227,485.293
78,368.431,132.821,498.747
79,358.9,129.248,511.852
80,349.871,125.537,524.592
81,341.325,121.719,536.956
82,333.246,117.82,548.934
83,325.613,113.868,560.519
84,318.408,109.885,571.706
85,311.611,105.893,582.495
86,305.203,101.912,592.886
87,299.163,97.9577,602.879
88,293.474,94.0469,612.479
89,288.117,90.1926,621.69
90,283.074,86.4064,630.52
91,278.328,82.6981,638.974
92,273.861,79.0761,647.062
93,269.66,75.5472,654.793
94,265.708,72.117,662.175
95,261.99,68.7898,669.22
96,258.494,65.5688,675.937
97,255.206,62.4563,682.337
98,252.114,59.4535,688.432
99,249.207,56.5612,694.232
100,246.473,53.7793,699.748
101,243.901,51.1071,704.992
102,241.483,48.5434,709.973
103,239.209,46.0867,714.704
104,237.071,43.735,719.194
105,235.059,41.4862,723.455
106,233.167,39.3376,727.495
107,231.388,37.2866,731.325
108,229.714,35.3303,734.956
109,228.14,33.4658,738.395
110,226.658,31.69,741.652
111,225.265,29.9998,744.736
112,223.953,28.3921,747.655
113,222.72,26.8637,750.417
114,221.559,25.4115,753.03
115,220.466,24.0324,755.502
116,219.438,22.7233,757.839
117,218.47,21.4813,760.049
118,217.559,20.3033,762.137
119,216.702,19.1865,764.111
120,215.895,18.1281,765.977
121,215.136,17.1255,767.739
122,214.421,16.1759,769.403
123,213.747,15.2768,770.976
124,213.114,14.4258,772.46
125,212.517,13.6206,773.862
126,211.955,12.8588,775.186
127,211.426,12.1383,776.436
128,210.928,11.457,777.615
129,210.459,10.8129,778.728
130,210.017,10.204,779.779
131,209.601,9.62866,780.77
132,209.209,9.08499,781.706
133,208.84,8.57137,782.588
134,208.493,8.08621,783.421
135,208.166,7.62799,784.206
136,207.857,7.19528,784.947
137,207.567,6.78671,785.646
138,207.293,6.40098,786.306
139,207.036,6.03686,786.927
140,206.793,5.69316,787.514
141,206.565,5.36878,788.067
142,206.349,5.06265,788.588
143,206.147,4.77378,789.08
144,205.955,4.50122,789.543
145,205.775,4.24406,789.98
146,205.606,4.00145,790.393
147,205.446,3.77259,790.781
148,205.296,3.55671,791.148
149,205.154,3.35308,791.493
150,205.02,3.16102,791.819
151,204.895,2.97989,792.126
152,204.776,2.80906,792.415
153,204.664,2.64797,792.688
154,204.559,2.49607,792.945
155,204.46,2.35283,793.187
156,204.367,2.21776,793.416
157,204.279,2.09041,793.631
158,204.196,1.97035,793.834
159,204.118,1.85714,794.025
160,204.044,1.75042,794.206
161,203.975,1.6498,794.376
162,203.909,1.55495,794.536
163,203.848,1.46553,794.687
164,203.79,1.38124,794.829
165,203.735,1.30178,794.963
166,203.684,1.22688,795.09
167,203.635,1.15627,795.209
168,203.589,1.08972,795.321
169,203.546,1.027,795.427
170,203.506,0.96787,795.527
171,203.467,0.91214,795.62
172,203.431,0.859613,795.709
173,203.397,0.810106,795.793
174,203.365,0.763444,795.871
175,203.335,0.719466,795.945
176,203.307,0.678017,796.015
177,203.28,0.638953,796.081
